feature_name,importance_gain,importance_split
ym_rank_D_62_std,108.81861952841282,38.8
last3_D_39_sum,108.66481567770242,30.4
diff_D_75_std,108.50074044167995,37.2
last3_B_23_min,108.4601914986968,24.8
D_46_mean,108.40602718740702,37.6
last6_S_12_sum,108.25444201231002,37.4
ym_rank_D_71_min,108.09972181320191,15.2
ym_rank_D_124_mean,107.92871510088443,40.8
last3_S_11_sum,107.28854617103934,35.6
diff_S_3_sum,107.25477673783898,35.8
D_118_std,107.02415672838688,36.6
last6_S_3_std,106.85823076367379,36.8
ym_rank_R_4_sum,106.84733901619911,20.4
diff_B_10_std,106.75450412034988,41.0
last3_diff_B_37_mean,106.71219314038754,25.6
rank_S_22_last,106.61627655280753,43.4
last3_diff_S_3_std,106.51087144166232,35.2
diff_B_9_mean,106.46951857805252,23.0
last3_S_3_std,106.35105723682791,38.8
diff_S_11_min,106.25366036295891,34.2
last3_D_41_sum,106.07059420347214,11.6
ym_rank_R_11_sum,106.06599304378032,29.4
last3_diff_B_7_mean,105.87492001354694,29.8
last6_B_23_std,105.7448032794753,35.6
B_12_std,105.73155415356159,38.2
ym_rank_S_26_max,105.69988771528006,25.2
rank_B_14_last,105.66589366206317,33.0
S_15_mean,105.65229453071952,29.0
R_3_sum,105.63098410815,28.0
rank_D_128_last,105.51941294521093,36.6
ym_rank_D_52_max,105.40277735590935,31.8
rank_S_12_last,105.27096202522516,40.6
rank_B_7_last,105.18540201187133,34.2
B_28_std,105.03226735480129,35.2
last6_B_23_max,105.00277954190969,28.6
diff_P_3_std,104.87734761238099,42.8
last6_B_2_sum,104.75253203287721,25.6
B_9_std,104.69366877153516,33.8
D_46_std,104.51297475881874,41.8
diff_D_39_max,104.43315710127354,30.6
diff_D_46_last,104.42218516692519,39.0
diff_D_61_mean,104.38417390659451,42.4
R_11_mean,104.27810592651367,21.2
rank_D_44_last,104.2529749341309,29.0
last6_S_22_std,104.07790035307407,40.0
rank_P_3_last,104.05207684971393,40.6
ym_rank_D_56_min,104.01181061994285,37.2
D_44_std,104.00461371093988,19.6
last6_D_77_min,103.84275054857135,41.4
ym_rank_S_13_last,103.79849707186222,18.8
ym_rank_D_115_min,103.7684977799654,40.0
S_23_std,103.75182192847133,24.6
last6_B_17_max,103.68375487327576,28.0
D_50_last,103.57439802065491,25.0
D_115_max,103.49002119936048,36.6
ym_rank_B_7_max,103.47043144272175,36.0
diff_D_60_min,103.43714969307185,35.8
